HELPDESK KNOWLEDGE SNIPPET — DEMO
========================================================================

Q0: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-0. 
Q1: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-1. 
Q2: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-2. 
Q3: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-3. 
Q4: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-4. 
Q5: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-5. 
Q6: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-6. 
Q7: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-7. 
Q8: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-8. 
Q9: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-9. 
Q10: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-10. 
Q11: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-11. 
Q12: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-12. 
Q13: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-13. 
Q14: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-14. 
Q15: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-15. 
Q16: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-16. 
Q17: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-17. 
Q18: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-18. 
Q19: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-19. 
Q20: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-20. 
Q21: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-21. 
Q22: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-22. 
Q23: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-23. 
Q24: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-24. 
Q25: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-25. 
Q26: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-26. 
Q27: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-27. 
Q28: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-28. 
Q29: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-29. 
Q30: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-30. 
Q31: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-31. 
Q32: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-32. 
Q33: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-33. 
Q34: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-34. 
Q35: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-35. 
Q36: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-36. 
Q37: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-37. 
Q38: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-38. 
Q39: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-39. 
Q40: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-0. 
Q41: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-1. 
Q42: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-2. 
Q43: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-3. 
Q44: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-4. 
Q45: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-5. 
Q46: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-6. 
Q47: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-7. 
Q48: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-8. 
Q49: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-9. 
Q50: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-10. 
Q51: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-11. 
Q52: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-12. 
Q53: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-13. 
Q54: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-14. 
Q55: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-15. 
Q56: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-16. 
Q57: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-17. 
Q58: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-18. 
Q59: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-19. 
Q60: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-20. 
Q61: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-21. 
Q62: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-22. 
Q63: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-23. 
Q64: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-24. 
Q65: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-25. 
Q66: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-26. 
Q67: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-27. 
Q68: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-28. 
Q69: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-29. 
Q70: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-30. 
Q71: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-31. 
Q72: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-32. 
Q73: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-33. 
Q74: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-34. 
Q75: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-35. 
Q76: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-36. 
Q77: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-37. 
Q78: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-38. 
Q79: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-39. 
Q80: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-0. 
Q81: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-1. 
Q82: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-2. 
Q83: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-3. 
Q84: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-4. 
Q85: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-5. 
Q86: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-6. 
Q87: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-7. 
Q88: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-8. 
Q89: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-9. 
Q90: How do I claim LTA / medical / WFH stipend? A: Submit bills in portal, finance SLA 5 days; see policy P-10. 
